Year,Month,Day,Date,Carapetyan Address,Carapetyan Country,Sender,Recipient,Substance of Correspondence,Archive,Archival Signature,Notes
1969,4,18,1969-4-18,,,Armen Carapetyan,Donald J. Grout,"""Finca Santa Bárbara has been sold (to a stinkingly rich German publisher at an absurdly low price)… Then there has been, and still is, the nightmare of preparation for a move. With our past vagrant life I have kept shedding papers, and even while settled here these seven years I have by habit kept decks fairly clear. Even so, the man who buys waste paper weighed the other day some 800 lbs., and more is still coming."" Carapetyan is closing down Dallas and is transferring stock to Holland.","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1969,4,24,1969-4-24,,,Donald J. Grout,Armen Carapetyan,"Grout is dealing with Cornell University Press for the publication of Alessandro Scarlatti's ""Griselda.""","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1969,4,28,1969-4-28,,,Armen Carapetyan,Erwin R. Jacobi,"Finca Santa Bárbara was sold a few weeks ago; will go to Holland for some weeks, planning to close down Dallas office, which has been taken care of by his brother [Caro, presumably], and his brother's health is no longer good; wants to reduce blank space in the volumes for reasons of aesthetics and expense; reviews are not so useful.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,5,7,1969-5-7,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi sent the second part of the introduction for vol. 5.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,5,16,1969-5-16,"Finca de S. Bárbara, Altea la Vieja (Alicante)",Spain,Dragan Plamenac,Armen Carapetyan,"Plamenac has just mailed the Faenza Codex manuscript, save no. 23 (232 pages in total).","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1969,5,20,1969-5-20,,,Erwin R. Jacobi,Armen Carapetyan,"Jacobi inquires about why vol. 4 has not appeared yet, and he asks about royalties.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,5,27,1969-5-27,"c/o Blikman & Sartorius, 520 Haarlemmerweg, Amsterdam, Holland",The Netherlands,Armen Carapetyan,Donald J. Grout,"""I really should like to retire, but that too is wishful""; he risks a loss of standards.","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1969,6,3,1969-6-3,"c/o Blikman & Sartorius, 520 Haarlemmerweg, Amsterdam, Holland",The Netherlands,Armen Carapetyan,Dragan Plamenac,"""Long experience, and grief, has taught us not to start off with a Ms until it is absolutely complete.""","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1969,6,5,1969-6-5,,,Armen Carapetyan,Erwin R. Jacobi,"""At all events it was a with a somewhat bitter amusement to read your complaint about delay, and about enquiries, when, having promised the edition for 1966, my office spends an appalling proportion of time in answering enquiries and protests, without speaking of my embarrassment, without mentioning the material side of the thing (perhaps you are unaware of the annual rise in costs in this country) while our price remains what we announced years ago, already wrong because of your changes in the amount of material to be set.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1969,6,9,1969-6-9,,,Dragan Plamenac,Armen Carapetyan,Plamenac is disappointed about the action taken with regard to the printing.,"Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1969,6,9,1969-6-9,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi notes that Carapetyan should raise prices for vols. 4–6.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,6,13,1969-6-13,,,Donald J. Grout,Armen Carapetyan,Grout asks how Carapetyan is doing in Holland.,"Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1969,6,22,1969-6-22,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi returned proofs for the introduction of vol. 5 to the printer Jo. Willemsen.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,6,27,1969-6-27,"c/o Blikman & Sartorius, 520 Haarlemmerweg, Amsterdam, Holland",The Netherlands,Armen Carapetyan,Erwin R. Jacobi,"Vol. 4 is being printed, vol. 5 is being prepared; Carapetyan cannot leave Amsterdam, as he has more than forty items in the works at present.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,7,5,1969-7-5,,,Erwin R. Jacobi,Armen Carapetyan,"Jacobi needs to know about royalties for 1968; ""I am convinced that the altar of culture deserves all personal sacrifices.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,7,20,1969-7-20,,,Armen Carapetyan,Donald J. Grout,Carapetyan is spending a summer in Amsterdam to work with the printer; the workers are difficult to deal with.,"Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1969,7,28,1969-7-28,,,Armen Carapetyan,Erwin R. Jacobi,"""We are in a world where labor is irresponsible, imprudent, intractable; more specifically, we are in a country where the laborer is all but worshipped at the altar""; sales of the Jean-Philippe Rameau edition are at a standstill; Carapetyan looking into having a more efficient stock circulation office; ""The important problem is tax. I pay very heavy tax in the US; I cannot have Dutch taxes too. In August I may look into possibilities in Germany, where I already had an office, or in Switzerland, in which case I should have to consult a firm expert in commercial treaty between Switzerland and the U.S.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,8,1,1969-8-1,"31 Ericaweg, Huizen (N.H.), Holland",The Netherlands,Erwin R. Jacobi,Armen Carapetyan,Jacobi asks for clarifications about his royalty statement.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,8,1,1969-8-1,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi suggests a possible Swiss lawyer for firm relocation; cannot understand the hold-up with vol. 5 of the Jean-Philippe Rameau edition.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,8,5,1969-8-5,"31 Ericaweg, Huizen (N.H.), Holland",The Netherlands,Armen Carapetyan,Erwin R. Jacobi,The catalogue for September will include vol. 5 of the Jean-Philippe Rameau edition.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,8,19,1969-8-19,"31 Ericaweg, Huizen (N.H.), Holland",The Netherlands,Erwin R. Jacobi,Armen Carapetyan,"Jacobi asks further questions regarding sale price and royalty; thinks that with vol. 4 onwards more subscribers will materialize, since the texts have not appeared before.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,8,30,1969-8-30,"31 Ericaweg, Huizen (N.H.), Holland",The Netherlands,Erwin R. Jacobi,Armen Carapetyan,Jacobi notes errors on the correction slip for vol. 4; various complaints have been sent to both Carapetyan and the printer Jo. Willemsen.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,8,31,1969-8-31,,,Harriette Carapetyan,Erwin R. Jacobi,"It comes as a shock that the printer Jo. Willemsen questions Armen Carapetyan's accounts; reminder that ""net"" income is not ""gross"" income and that Jacobi is entitled to nothing; summer was nothing but heartache with printers.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,9,4,1969-9-4,,,Erwin R. Jacobi,Harriette Carapetyan,Jacobi thanks Harriette Carapetyan for response; suggests a 10% increase in price for the last three volumes.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,9,5,1969-9-5,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi questions the legibility of the facsimile of the letter.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,10,3,1969-10-3,,,Dragan Plamenac,Armen Carapetyan,"Plamenac explains the loss of the package (""lost after 'becoming separated' from the wrappings"").","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1969,10,15,1969-10-15,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi reminds Carapetyan about issues from the previous two months that had not been addressed.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,11,11,1969-11-11,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi sends a review; asks about review copies; notes that he was recently in Vienna to do necessary research for vol. 6 of the Jean-Philippe Rameau edition.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,11,17,1969-11-17,"c/o Jaime Alvado Albalat, La Olla de Altea [Alicante]",Spain,Armen Carapetyan,Dragan Plamenac,"Two packets of post were lost, but eventually found.","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1969,11,27,1969-11-27,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi reminds Carapetyan about reviews.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,12,3,1969-12-3,,,Dragan Plamenac,Armen Carapetyan,"""After the disheartening experience I had with the loss of the package containing my Faenza [Codex] transcriptions, I have been busy reconsituting them and am still working on this tedious job which is not finished yet.""","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1969,12,11,1969-12-11,,,Erwin R. Jacobi,Armen Carapetyan,"Jacobi sends a review of the Jean-Philippe Rameau edition from ""Die Musikforschung.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,12,13,1969-12-13,,,Armen Carapetyan,Donald J. Grout,"Carapetyan needs editorial assistance; receives lots of applications from professors in the United States, but is no longer familiar with most academics there.","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1969,12,16,1969-12-16,,,Armen Carapetyan,Erwin R. Jacobi,"(This letter was not sent until 22 December 1969.) Jacobi is being difficult; Jean-Philippe Rameau edition not worth it; Carapetyan thinking about purchasing a villa outside Florence that is currently occupied by the Italian ambassador to London; Spain has law and order, but no culture, so it is difficult to run a business there.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1970,1,2,1970-1-2,,,Dragan Plamenac,Armen Carapetyan,Plameanc is revising the set of xerox prints that were sent on 16 May 1969 (and were lost in the mail).,"Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1970,1,12,1970-1-12,,,Erwin R. Jacobi,Armen Carapetyan,Carapetyan is in error about a few aspects of vol. 4; new document to include in vol. 6; family member has villa outside Florence that they have considered renting before,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1970,1,22,1970-1-22,,,Armen Carapetyan,Erwin R. Jacobi,"Some estates that they are considering in Italy are too isolated (e.g., no telephone) and Carapetyan worries that his wife will be lonely.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1970,2,5,1970-2-5,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi provides information about his relatives' villa; updates about vols. 4–6 of the Rameau edition and their various problems; suggests places in Switzerland where Carapetyan could live.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1970,2,20,1970-2-20,"Punta de la Mona, La Herradura (Granada)",Spain,Armen Carapetyan,Dragan Plamenac,"""It was not clear to me whether [Willi Apel] would be disappointed in not having [the] Faenza [Codex] in CEKM, or insist that it be there. He is now willing to leave the matter to me.""","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1970,3,6,1970-3-6,,,Dragan Plamenac,Armen Carapetyan,"""Dr. [Willi] Apel, in his letter to me of January 6—of which I enclose a Xerox copy—showed full understanding of the reasons that make the publication of my Faenza [Codex] edition in CEKM impractical. He seemed neither sorry nor disappointed.""","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1970,3,10,1970-3-10,,,Dragan Plamenac,Armen Carapetyan,Plamenac forwards letter from 6 March 1970.,"Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1970,3,18,1970-3-18,,,Armen Carapetyan,Erwin R. Jacobi,The villa from Jacobi's family not available; issues with Jean-Philippe Rameau facsimile reproduction happened after the printer Jo. Willemsen left Nijmegen,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1970,3,24,1970-3-24,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi offers updates about review copies and vol. 6 of the Jean-Philippe Rameau edition.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1970,3,26,1970-3-26,,,Armen Carapetyan,Dragan Plamenac,Carapetyan is unable to say whether they will be able to meet in Europe over the summer; asks for an address at which Plamenac can be reached.,"Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1970,4,1,1970-4-1,,,Dragan Plamenac,Armen Carapetyan,Plamenac sends contact information for himself for the next two months.,"Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1970,4,2,1970-4-2,,,Dragan Plamenac,Armen Carapetyan,Plamenac sends contact information for himself for the next two months.,"Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1970,4,2,1970-4-2,,,Armen Carapetyan,Donald J. Grout,"Carapetyan paid a heavy price for living in Spain; now is considering relocating to Switzerland; AIM has stopped printing in the United States, and it will now be done in Holland.","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1970,4,30,1970-4-30,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi offers an update about review copies.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1970,5,11,1970-5-11,"c/o Blikman & Sartorius, 520 Haarlemmerweg, Amsterdam, Holland",The Netherlands,Armen Carapetyan,Dragan Plamenac,"""But, really you are making too much of this delivery of your Ms. Of course I should be pleased to see you after so many years, and admittedly details can be discussed easily in person. But surely I am capable of putting through your edition.""","Yale University, Irving S. Gilmore Music Library","MSS 45 (Dragan Plamenac Papers), Box 1, Folder 1",
1970,5,12,1970-5-12,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi offers update about review copies.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1970,5,18,1970-5-18,,,Armen Carapetyan,Erwin R. Jacobi,Carapetyan informs Jacobi that he will be traveling to the US for a month; he has decided to move to Italy; dreadful errors are appearing in volumes; wants to publish vol. 6 of the Jean-Philippe Rameau edition in 1970.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1970,5,21,1970-5-21,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi offers updates about review copies.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1970,5,30,1970-5-30,,,Armen Carapetyan,Donald J. Grout,Carapetyan informs Grout that he will be traveling to the US and seeing a brother he hasn’t seen for 43 years; he is dealing with property in Tucson.,"Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1970,6,16,1970-6-16,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi offers an update on progress on vol. 6 of the Jean-Philippe Rameau edition; subscribers have not yet received vol. 5.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 33:6",
